Its Tubular Services (Holdings),1,Aberdeen,,Oil services,"127,759,000"
Petrotechnics,2,Aberdeen,,Architectural and engineering activities and related technical consultancy,"12,900,642"
Renew Holdings,3,Aberford,,General construction and civil engineering,"290,395,000"
H Shackleton,4,Abergavenny,,Dispensing chemists,"10,001,386"
Alamy,,Abingdon,,Photographic activities,"15,163,309"
"Oxitec,",,Abingdon,,"Life Sciences, insect pests","168,326"
Chroma Therapeutics,,Abingdon,,Life Sciences,"179,328"
Oxford Biotherapeutics,,Abingdon,,Life Sciences,"429,472"
Oxford Immunotec,,Abingdon,,Manufacture of pharmaceutical preparations,"2,746,000"
Violia Media Services,,Abingdon,,"Retail sale of books, newspapers and stationery","8,778,643"
Gavin Jones,,Addlestone,,Special construction trades,"17,255,995"
Albert Bartlett & Sons (Airdrie),,Airdrie,,Farming,"136,324,924"
Marla Tube Fittings,,Alcester,,Tube fittings,"65,138,642"
Chess Telecom,,Alderley Edge,,Business telephony,"29,118,000"
Loch Lomond Distillers,,Alexandria,,Distiller,"17,826,565"
Nft Distribution Holdings,,Alfreton,,Distributor,"127,732,000"
Cleardebt Group,,Altrincham,,Debt management,"6,633,995"
The Practice,,Amersham,,Primary community based healthcare for the NHS,"8,220,972"
Retlan Manufacturing,,Antrim,,Trailer manufacture,"68,701,000"
Opus Care,,Ashford,,Human health activities,"3,172,387"
South East Health,,Ashford,,Medical practice,"26,002,458"
Axminster Power Tools,,Axminster,,DIY tools,"27,471,727"
Axminster Carpets,,Axminster,,Carpet maker,"31,872,000"
J.C. Peacock & Co.,,Ayr,,Manufacture of other inorganic chemicals,"22,669,883"
Leisure & Community Partnership,,Bagshot,,Community leisure centres - not for profit,"37,410,807"
DC Leisure Management,,Bagshot,,Sports centre management,"45,827,000"
Chain Reaction Cycles,,Ballyclare,,Retail of cycle parts and accessories,"77,408,801"
Hagans Leisure,,Ballyclare,,Camping sites,N/A
Westminster Group,,Banbury,,"Fire, Safety, Security and Defence solutions","7,948,000"
HFIS,,Barnet,,Non-life insurance,"3,991,807"
Haywood And Padgett,,Barnsley,,Manufacture of bread; manufacture of fresh pastry goods and cakes,"15,330,954"
Frozen Value,,Barnsley,,Value food retailer,"51,013,000"
J+S,,Barnstaple,,Consultancy services,"10,379,000"
Drakefield Insurance Services,,Basildon,,Non-life insurance,"8,374,099"
Cyclotech,,Basingstoke,,"Seperation technology, processes for the oil and gas industry","11,235,512"
Hcr Group Holdings,,Basingstoke,,Management of real estate,"6,701,632"
Avanta Enterprise,,Basingstoke,,Labour recruitment,"53,329,206"
Ceps,,Bath,,Manufacture of footwear,"16,519,000"
Paladin Group,,Bath,,Management of real estate,"19,578,000"
Picochip,,Bath,,Wireless infrastructure,"11,130,187"
The Bath Priory,,Bath,,Hotels,"6,854,906"
Clipper Teas,,Beaminster,,Tea/coffee,"22,591,345"
Paragon Automotive,,Bedford,,Vehicle processing,"81,248,000"
Denticare,,Bedford,,Dental practice activities,"7,893,200"
Blue Chip Customer Engineering,,Bedford,,Software publishing,"20,600,901"
"Toye, Kenning & Spencer",,Bedworth,,Ceremonial items,"8,231,068"
Aepona,,Belfast,,Cloud computing,"10,354,000"
BHH,,Belfast,,Manufacture of prepared food for farm animals,"193,052,757"
Morrow Contracts,,Belfast,,General construction and civil engineering,"11,886,964"
H & J Martin Holdings,,Belfast,,Construction and civil engineering services,"87,394,278"
Lagan Construction,,Belfast,,General construction and civil engineering,"164,547,000"
Heartsine Technologies,,Belfast,,Defibrillation therapy,"7,136,713"
Survitec Group,,Belfast,,Safety equipment maker,"58,935,000"
Randox Laboratories,,Belfast,,Clinical diagnostics company,"63,377,000"
William Grant & Sons Holdings,,Bellshill,,Glennfiddich Distillery,"838,347,000"
Bowmer & Kirkland,,Belper,,General construction and civil engineering,"669,121,768"
Hobson & Sons Group,,Benfleet,,Uniforms and hats,"18,989,406"
Bristol Laboratories,,Berkhamsted,,Generic drugs manufacturer,"57,063,285"
Simpsons Malt,,Berwick-Upon-Tweed,,Malt producer,"109,000,000"
Bostonair,,Beverley,,General construction and civil engineering,"17,287,729"
Curtis Wool Direct Holdings,,Bingley,,Wool merchants,"24,413,338"
The Contact Company,,Birkenhead,,Call centres,"4,600,000"
Technical Demolition Services,,Birkenhead,,Demolition and wrecking of buildings,"10,035,343"
Cammell Laird Shiprepairers & Shipbuilders,,Birkenhead,,Ship production and repairs,"93,266,000"
Margetts Holdings,,Birmingham,,Fund manager,"18,530,246"
"Minor, Weir & Willis",,Birmingham,,Exotic fruit,"97,080,202"
Enpure Holdings,,Birmingham,,Construction of water projects,"72,728,000"
Dunlop Aircraft Tyres,,Birmingham,,Aerospace/Defence/Automotive tyres,"31,329,000"
Hadley Industries Holdings,,Birmingham,,Cold rolled steel,"73,854,000"
Firmin & Sons,,Birmingham,,"Ceremonial items, established 1655",N/A
Adam Myers,,Birmingham,,Dispensing chemists,"15,059,303"
W.Wing Yip,,Birmingham,,Chinese food wholesale,"46,740,111"
J. Hudson And Co. (Whistles),,Birmingham,,Acme Whistles,N/A
Patisserie Holdings,,Birmingham,,Restaurants,"33,424,243"
Park Leisure 2000,,Bishop Auckland,,"Camping sites, including caravan sites","21,035,600"
Accrol Papers,,Blackburn,,Paper making,"38,171,686"
AI Claims Solutions,,Blackpool,,Claims management,"91,929,000"
Tangerine Confectionary,,Blackpool,,Sweets,"154,549,000"
Jedheath,,Blackpool,,Human health activities,"4,342,524"
Firesource,,Blackpool,,Green fuels retailer,"549,108,000"
National Renewable Energy Centre,,Blyth,,Centre to accelerate renewables into energy grid,"10,314,168"
Royal Bay Care Homes,,Bognor Regis,,Development and selling of real estate,"8,775,509"
Immuno-Diagnostic Systems,,Boldon Colliery,,Immuno analysers,"24,586,592"
Premex Group,,Bolton,,Medical practice activities,"54,757,085"
Drl Holdings,,Bolton,,Trades as Appliances Online,"126,716,030"
Destinology,,Bolton,,Travel agencies and tour operators,"31,458,714"
Travel Counsellors Group,,Bolton,,Travel agencies and tour operators,"74,821,183"
Fresenius Kabi Oncology,,Bordon,,Manufacture of pharmaceutical preparations,"45,372,212"
Masterson Holdings,,Borehamwood,,Concrete and construction services,"67,059,644"
Stanmore Implants,,Borehamwood,,Healthcare,"5,611,587"
Thunderhead,,Borehamwood,,Software publishing,"25,669,441"
Golf Entertainment International,,Borehamwood,,Golf centres,"23,234,620"
Staples (Vegetables),,Boston,,Processing and preserving of fruit and vegetables not elsewhere classified,"39,905,408"
Organix Brands,,Bournemouth,,Organic children's food,"28,968,000"
Ceuta Healthcare,,Bournemouth,,Human health activities,"69,145,000"
Micro Nav,,Bournemouth,,Simulation systems,N/A
A. I. T Travel,,Bradford,,Travel agencies and tour operators,"37,434,243"
Matchroom Sport,,Brentwood,,Sports promotion,"18,786,728"
Crime Reduction Initiatives,,Brighton,,Charity for communities hit by crime,"57,508,000"
Gemini Funding,,Bristol,,Credit granting,"23,092,571"
Jelf Group Public Company,,Bristol,,AIM listed insurance/employee benefits,"70,371,000"
Bart Spices,,Bristol,,Spices,"15,637,841"
Yeo Valley Farms (Production),,Bristol,,Dairy,"176,579,960"
B R Hodgson Group,,Bristol,,Painting and glazing,"13,761,998"
Shield Environmental Holdings,,Bristol,,Special construction trades,"14,338,095"
Harvey Shopfitters,,Bristol,,Special construction trades,"25,838,762"
Integral Uk Holdings,,Bristol,,Installation of electrical wiring and fittings,"177,701,000"
Solarsense (Uk),,Bristol,,PV installer,N/A
Magellan Aerospace,,Bristol,,Aerospace engineer,"77,188,000"
Space Engineering Services,,Bristol,,Refrigeration engineering,"91,900,468"
Nisbets,,Bristol,,Catering equipment,"147,686,232"
Aardman Animations,,Bristol,,Animantion,"16,668,549"
Deeley Freed Estates,,Bristol,,Development and selling of real estate,"15,211,194"
Toolstation,,Bristol,,Electrical appliances,"40,989,000"
Phyworks,,Bristol,,Manufacture of electronic components,"9,271,753"
Alterian,,Bristol,,Software publishing,"36,959,000"
British Country Inns,,Bristol,,Bars,"3,866,512"
Cadbury House Hotel And Country Club,,Bristol,,Restaurants,"4,334,040"
Las Iguanas,,Bristol,,Restaurants,"29,752,544"
Globebrow,,Bucknell,,Manor Adventure,"5,505,483"
Coin Co International,,Burgess Hill,,Currency specialist,"18,604,887"
Icon Live,,Burgess Hill,,Jewellery,"80,585,921"
Burnley Football & Athletic Company,,Burnley,,Operation of sports arenas stadiums,"45,377,000"
The National Memorial Arboretum Company,,Burton-On-Trent,,Preservation of historical sites and buildings,"2,936,488"
Regency Factors,,Bury,,Asset and trade finance,"88,426,124"
Spl Foods,,Bury,,Food wholesaler,"19,946,140"
Tetrosyl Group,,Bury,,Manufacture of chemical products,"147,760,000"
Gough Hotels,,Bury St Edmunds,,Hotels,"6,079,080"
Adventure Forest,,Bury St Edmunds,,Go Ape! Activity centres,"10,572,469"
Cloverleaf Restaurants,,Bury St Edmunds,,Bars,"17,379,732"
Otter Controls,,Buxton,,Electrical controls and safety devices,"39,394,874"
Peter'S Food Service,,Caerphilly,,Bakers,"63,672,000"
Loch Fyne Oysters,,Cairndow,,Sea food,"22,318,433"
Enecsys,,Cambridge,,Solar energy technology,"2,220"
Cambridge Display Technology,,Cambridge,,Display technology,"7,132,000"
"Astex Theapeutics,",,Cambridge,,Drug discovery,"9,030,742"
Abcam,,Cambridge,,Antibodies and reagents supplier,"71,106,000"
Zeus Technology,,Cambridge,,Software publishing,"6,571,952"
Ubisense Group,,Cambridge,,Real time location software,"17,697,000"
IP.Access,,Cambridge,,Picocells and femtocells,"18,069,000"
Cambridge Broadband Networks,,Cambridge,,Telecoms services,"22,007,123"
A Mclays & Company,,Cardiff,,Printing,"11,099,339"
Castleoak Holdings,,Cardiff,,General construction and civil engineering,"44,772,773"
Boomerang Plus,,Cardiff,,Radio and television activities,"21,409,000"
Srk Consulting (Uk),,Cardiff,,Architectural and engineering activities and related technical consultancy,"16,902,454"
Target Group,,Cardiff,,Business process outsourcing,"26,071,000"
Box UK,,Cardiff,,Web consultants,N/A
Viscount Environmental,,Castleford,,Consultancy services,"9,533,208"
Greenwood Builders,,Chadderton,,General building,"8,976,405"
RWS Group,,Chalfont St Peter,,Patent translations,"6,529,548"
Daletech,,Chatham,,Installation of electrical wiring and fittings,"18,046,690"
Byrom Public Company,,Cheadle,,FIFA World Cup and sports events services,"128,634,141"
Cofunds Holdings,,Chelmsford,,Fund market,"61,312,000"
Oriel Holdings,,Cheltenham,,Business services,"18,694,511"
Dynmark International,,Cheltenham,,Mobile marketing,"3,535,777"
Redtray,,Chertsey,,Online training,"8,929,615"
Digico,,Chessington,,Digital mixing,"18,756,767"
Montgomery Tomlinson,,Chester,,Soft furnishings/curtains,"25,722,000"
B2Net,,Chesterfield,,Storage services,"40,418,122"
Can Holdings,,Chesterfield,,Business and management consultancy activities,"67,445,000"
Langmead Farms,,Chichester,,Farming,"42,762,702"
Good Energy Group,,Chippenham,,Renewable energy,"17,070,630"
Wavin,,Chippenham,,Plastic pipe and fittings,"98,852,000"
Watson Petroleum,,Chippenham,,Fuels distributor,"584,716,102"
RFL Communications,,Chippenham,,Telecoms solutions,"5,169,552"
Aria Networks,,Chippenham,,Network capacity software,N/A
Thompsons Nursery,,Chislehurst,,Garden centres,"4,892,041"
Speed Medical Examination Services,,Chorley,,Legal activities,"31,999,265"
Elitetelecom Holdings,,Chorley,,Telecoms services,"17,398,407"
Hobbycraft Group,,Christchurch,,Craft goods retailer,"84,366,000"
The Simian Group,,Cirencester,,IT infrastructure services,"128,755,000"
Cg Holdings,,Clevedon,,Letting of own property,"18,478,280"
Paul John Plant,,Coalville,,Renting of construction or demolition equipment with operator,"11,262,034"
Stourgarden,,Colchester,,Onions,N/A
Ben'S,,Colchester,,Retail chain,"14,819,990"
Access UK,,Colchester,,Accounting software,"23,927,965"
Reader Offers,,Colchester,,Cruising agents,"33,068,499"
Thomas Swan & Co,,Consett,,Manufacturer of speciality chemicals,"21,057,878"
Lissan Coal Company,,Cookstown,,Fuel supplies,"250,658,632"
Jhp Group,,Coventry,,Training services provider,"62,642,000"
I-Nexus,,Coventry,,Business software,"1,902,536"
Prophet,,Coventry,,Software publishing,"3,584,660"
Prince Hotels,,Coventry,,Hotels,"7,634,405"
Silverstar Foods,,Cranbrook,,Food importer and distributor,"12,547,886"
The Old Rectory (Ewhurst) Co.,,Cranleigh,,Medical practice activities,"3,116,816"
Astins,,Crawley,,Specialist contractor,"39,112,102"
Empresaria Group,,Crawley,,Labour recruitment,"223,400,000"
FW Evans (Uk),,Crawley,,Cycling and other sporting goods,"84,123,000"
Morning Foods,,Crewe,,Producer breakfast oats,"89,404,445"
Medtrade Products,,Crewe,,Wound and skin care products,"6,205,538"
Day Lewis,,Croydon,,Pharmacy chain,"193,003,043"
Hoo Hing Holdings,,Dagenham,,Chinese food retailing as Wing Fei,"70,375,636"
Groundwork South Tyneside And Newcastle Upon Tyne,,Darlington,,Regeneration projects,"38,257,028"
Castlebeck,,Darlington,,Specialist healthcare provider,"55,985,000"
FM Conway,,Dartford,,General construction and civil engineering,"124,966,609"
1St Step Solutions,,Dartford,,Labour recruitment,"13,486,314"
Euro Garages,,Darwen,,Petrol forecourts,"285,224,000"
Global Chemical Technologies,,Daventry,,Manufacture of other chemical products not elsewhere classified,"6,809,704"
Intercrop,,Deal,,Salads grower,N/A
Tasties Of Chester,,Deeside,,Food,N/A
Pektron,,Derby,,Electronics,"20,643,570"
Interfleet Technology,,Derby,,Rail consultants,"24,290,000"
Ivor Shaw,,Derby,,Pennine Healthcare surgical instruments,"20,470,418"
Traditional Contemporary Bathrooms,,Dewsbury,,Bathroom equipment,"23,966,926"
Donaghadee Garden Centre,,Donaghadee,,Gardening products,"3,744,574"
J.S.R. Farms,,Driffield,,Crops and Pig breeder,"22,806,000"
Drifford,,Driffield,,Dewhirst textile supplier to M&S,"215,266,000"
Bardsley Construction Group,,Dukinfield,,General construction and civil engineering,"64,824,555"
DC Thomson & Company,,Dundee,,Appers for its Brightsolid subsidiary,"276,145,000"
Level Four Software,,Dunfermline,,Banking software,"2,675,138"
W.D. Irwin & Sons,,Dungannon,,Manufacture of bread and pastry,"37,032,230"
Goal Soccer Centres,,East Kilbride,,Sports centres,"27,804,000"
Fusion People,,Eastleigh,,Labour recruitment,"38,725,118"
Ria Capital Markets,,Edinburgh,,Security broking and fund management,"11,342,809"
Quayle Munro Holdings,,Edinburgh,,Financial adviser,"15,662,000"
Nairn'S Oatcakes,,Edinburgh,,Biscuits,"14,581,384"
Pyreos,,Edinburgh,,Optoelectronics,"155,103"
The Maggie Keswick Jencks Cancer Caring Centres Trust,,Edinburgh,,Human health activities,"8,812,000"
